хвороба,симптом1,симптом2,симптом3,симптом4,симптом5
Рак кишківника,Нервозність (підвищена),Печія,Стомлюваність (сильна),Виділення з соска,"Проблеми з сечовипусканням (часті, утруднені)"
Астма,Порушення пам'яті,Серцебиття (прискорене),,,
Хвороба Паркінсона,Гіперактивність,,,,
Застуда,Потемніння в очах при різкому вставанні,Біль у животі (голодний біль),Холодні кінцівки,,
Рак молочної залози,Оніміння кінцівок,Кашель з кров'ю,,,
Гастрит,Зміни особистості,Набряклість,Сльозотеча (гнійні виділення),Порушення пам'яті,Пітливість
Склеродермія,Свербіж шкіри,Часте сечовипускання,Набряклість (локалізована),Біль у м'язах (локалізований),
Синусит,Порушення зору (аура),Кашель з кров'ю,Ломота в тілі,Зміни нігтів,Збільшення живота
Жовчнокам'яна хвороба,Надмірна сонливість вдень,Порушення зору (аура),Втома,Збільшення печінки/селезінки,Нав'язливі думки
Системний червоний вовчак,Прискорене серцебиття,Уникнення травматичних спогадів,,,
Кон'юнктивіт,Часте болісне сечовипускання,Блювота (ранкова),Надмірна сонливість вдень,Свербіж в очах,Біль у грудях (що посилюється при диханні)
Фарингит,Біль у м'язах (локалізований),Біль у суглобах (мігруючий),Тенезми,,
Рак простати,Біль у м'язах,Біль у м'язах (локалізований),Діарея,"Біль у грудях (стискаючий, пекучий)",
Інсульт,Неуважність,Біль у м'язах (сильний),,,
Апендицит,Носова кровотеча,Гіперактивність,Стереотипні рухи,,
Рак шлунку,Спрага,Лущення шкіри,Порушення чутливості,Біль у вусі,
COVID-19,Нав'язливі думки,,,,
Склеродермія,Занепокоєння,Судоми,М'язова слабкість,Сухість у роті,
Інфаркт міокарда,Головний біль (ранковий),,,,
Катаракта,Закладеність носа,Кашель (сухий),,,
Лейкемія,Деформація суглобів,Чутливість до світла/звуку,,,
Грип,Втрата апетиту,Відрижка,Збільшення щитоподібної залози,Часте болісне сечовипускання,Стискання в грудях
Фіброміалгія,Імпульсивність,Кашель (з мокротою),Труднощі з соціальною взаємодією,,
Анорексія,Блідість шкіри,Проблеми з рівновагою,,,
Ларингіт,Збільшення щитоподібної залози,,,,
Лімфома,Висипання на шкірі (різні),Втрата інтересу до діяльності,Судоми,Прискорене дихання,
Інсульт,Оніміння кінцівок,Уникнення травматичних спогадів,,,
Меланома,Кашель (сухий),Нудота,Прискорене дихання,Кров у сечі,Ущільнення шкіри
Ангіна,Судоми,Порушення сну (безсоння),Кров у сечі,Зміна форми соска,
Посттравматичний стресовий розлад,Погіршення зору (прогресуюче),,,,
Панкреатит,Біль в очах,Чутливість до сонця,Зміни особистості,Тенезми,Біль в очах (ріжучий)
Фіброміалгія,Червоні плями на шкірі,,,,
Хронічна втома,Біль у правому боці,Погіршення зору (прогресуюче),Мутна сеча,Кашель (з мокротою),
Астма,Чутливість до світла/звуку,Сльозотеча (гнійні виділення),Дратівливість,Порушення чутливості,Підвищена температура тіла (локальна)
Гепатит,Збільшення печінки/селезінки,Біль у правому боці,Кров у калі,Раптові напади сну,
Лімфома,Холодні кінцівки,Кашель (з мокротою),Сльозотеча (гнійні виділення),Спрага,"Проблеми з сечовипусканням (часті, утруднені)"
Хвороба Альцгеймера,Дратівливість,Сутулість,М'язова слабкість,,
Отит,Нав'язливі думки,,,,
Рак легенів,Втома,Кровотеча,Порушення зору,Райдужні кола навколо джерел світла,Спотворення образу тіла
Плоскоклітинний рак,Компульсивні дії,Синдром Рейно,Прискорене дихання,,
Ангіна,Ломота в тілі,Зміни особистості,Лущення шкіри,Проблеми з координацією,
Мігрень,Розмитість зображення,Білий наліт на мигдалинах,Біль у суглобах,Набряклість,
Катаракта,Біль у спині,Закладеність носа,Головний біль,,
Лімфома,Сильний головний біль (пульсуючий),,,,
Рак молочної залози,Шум у вухах,Слабкість,Вузлики на суглобах,,
Астма,Ригідність м'язів,,,,
Остеопороз,Кровотеча,Сльозотеча,Біль у лівій руці,Задишка,
Розсіяний склероз,Біль у спині,,,,
Подагра,Шум у вухах,Часте болісне сечовипускання,Спрага,Кровотеча,Біль у животі (розлитий)
Карпальний тунельний синдром,Переїдання з наступним очищенням,Сухість у роті,,,
Мігрень,Вузлики на суглобах,Лихоманка,Нудота,,
Холецистит,Висипання у вигляді метелика на обличчі,,,,
Меланома,Лихоманка (сильна),,,,
Пневмонія,Раптові напади сну,,,,
Гастроентерит,Гіперактивність,Маніакальні епізоди,,,
Хронічна втома,Пригнічений настрій,Нічна пітливість,Лихоманка (сильна),Порушення координації рухів,Тенезми
Менінгіт,Проблеми з рівновагою,Біль у лівій руці,Виділення з соска,,
Хвороба Крона,Біль у горлі (першіння),Біль в очах (ріжучий),Нудота,,
Депресія,Ломота в тілі,М'язова слабкість,Біль у горлі,Порушення сну,
Розсіяний склероз,Тремтіння (тремор),Чутливість до сонця,Сковання суглобів,Збільшення живота,Здуття
Мігрень,Збільшення лімфовузлів,Пригнічений настрій,Закладеність носа,Набряк мигдалин,
Анемія,Перепади настрою,Біль у животі (голодний біль),Дратівливість,Сильний головний біль (пульсуючий),
Бронхіт,Пітливість,"Біль у грудях (стискаючий, пекучий)",Жовтяниця,,
Алергія,Часте сечовипускання,Здуття,Набряк мигдалин,,
Кропив'янка,Втрата свідомості,Висипання у вигляді метелика на обличчі,,,
Алергія,Біль в очах,Раптові напади сну,Гіперактивність,Біль у животі (розлитий),Проблеми з координацією
Синдром дефіциту уваги та гіперактивності,Біль у суглобах (мігруючий),Тенезми,Порушення пам'яті,Біль в очах,Біль у животі (розлитий)
Гастрит,Нав'язливі думки,Біль у грудях (що посилюється при диханні),Біль у суглобах (сильний),Біль в очах (ріжучий),
Мігрень,Біль у животі (пекучий),Порушення зору,Переїдання з наступним очищенням,Виділення з вуха,
Кропив'янка,Лущення шкіри,Кров у калі,Біль у спині,Кров у сечі,Слабкість
Виразковий коліт,Порушення координації рухів,Лихоманка (сильна),Виділення з соска,,
Анемія,Ригідність м'язів,Набряклість (локалізована),Висипання на шкірі (різні),,
Кропив'янка,Блювота (ранкова),Біль у животі (пекучий),,,
Тривожність,Втрата ваги (різка),Тремтіння (тремор),Проблеми з мовленням,"Проблеми з сечовипусканням (часті, утруднені)",Втома
Гіпотонія,Проблеми з ковтанням,Почервоніння шкіри над суглобом,Біль у суглобах (мігруючий),Пітливість,
Системний червоний вовчак,Кровотеча,Кров у калі,,,
COVID-19,Біль у лівій руці,Надмірна сонливість вдень,Дратівливість,Часте сечовипускання,Біль у грудях
Катаракта,Почервоніння обличчя,Повільне загоєння ран,,,
Хвороба Паркінсона,Блювота,,,,
Булімія,Стискання в грудях,Кровотеча,Слабкість,Кров у сечі,Погіршення зору (прогресуюче)
Хвороба Паркінсона,Імпульсивність,Мутна сеча,Ущільнення в молочній залозі,Стереотипні рухи,Блювота
Синусит,Погіршення зору,,,,
Епілепсія,Випадіння волосся,,,,
Цистит,Задишка,Висипання,Свербіж шкіри,Жовтяниця,
Системний червоний вовчак,Біль у грудях,Погіршення зору (прогресуюче),Кровотеча з ясен,Ломота в тілі,
Гастрит,Біль у лівій руці,Біль у правому підребер'ї,Дратівливість,Біль у горлі,
Панкреатит,Зміна форми соска,Нічна пітливість,Помутніння зору,Почуття провини/нікчемності,Слабкість
Енцефаліт,Лихоманка (сильна),Набряк суглобів,,,
Обсесивно-компульсивний розлад,Поступова втрата периферичного зору,,,,
Рак молочної залози,Носова кровотеча,,,,
Рак легенів,Підвищена температура тіла (локальна),,,,
Коліт,Проблеми з координацією,,,,
Фіброміалгія,Печія,Чхання,Помутніння зору,Біль у м'язах (сильний),
Плоскоклітинний рак,Чутливість до сонця,Неуважність,,,
Системний червоний вовчак,Хрипи в легенях,Обмеження рухливості,Втрата апетиту (нервова),Задишка,
Гіпотонія,Поступова втрата периферичного зору,Збільшення лімфовузлів,Проблеми з координацією,Нічна пітливість,Пригнічений настрій
Бронхіт,Діарея,Збільшення щитоподібної залози,Зміни особистості,Прискорене серцебиття,
Хвороба Альцгеймера,Біль у правому підребер'ї,"Проблеми з сечовипусканням (часті, утруднені)",Поступова втрата периферичного зору,Обмеження рухів (локалізоване),
Жовчнокам'яна хвороба,Флешбеки,Відрижка,,,
Посттравматичний стресовий розлад,Свистяче дихання,,,,
Бронхіт,Спрага,Холодні кінцівки,Проблеми з координацією,Стискання в грудях,Втрата ваги
Базаліома,Ригідність м'язів,Втрата смаку/нюху,Нав'язливі думки,Почуття тривоги/паніки,
Синдром дефіциту уваги та гіперактивності,Порушення зору,,,,
Гіпотонія,Сплутаність свідомості,Зменшення зросту з часом,Холодні кінцівки,Втрата смаку/нюху,Свербіж в очах
COVID-19,Погіршення зору,Занепокоєння,Біль у горлі,,
Рак молочної залози,"Біль у грудях (стискаючий, пекучий)",Дезорієнтація,Біль у попереку,,
Виразка шлунку,Біль в очах (ріжучий),Синдром Рейно,,,
Рак простати,Блювота (ранкова),Сковання суглобів,Біль у животі (голодний біль),Страх набрати вагу,
Синусит,Зміни нігтів,Кашель,Підвищений апетит,Носова кровотеча,
Гепатит,Біль у животі (розлитий),Слабкість у кінцівках (прогресуюча),"Проблеми з сечовипусканням (часті, утруднені)",Сльозотеча (гнійні виділення),
Мігрень,Раптові напади сну,,,,
Посттравматичний стресовий розлад,Головний біль,Занепокоєння,Здуття кишківника,,
COVID-19,Мутна сеча,,,,
Ларингіт,Компульсивні дії,Блідість шкіри,Почуття провини/нікчемності,,
Кон'юнктивіт,Кровотеча з ясен,Труднощі з соціальною взаємодією,Біль у горлі,Повільне загоєння ран,
Екзема,Маніакальні епізоди,Погіршення зору,Проблеми з ковтанням,Нічна пітливість,
Остеопороз,Серцебиття (прискорене),Зміни апетиту/ваги,Збільшення живота,Кровотеча,
Посттравматичний стресовий розлад,Сухість у роті,Блювота (ранкова),,,
Розсіяний склероз,Зміни апетиту/ваги,Набряклість (локалізована),,,
Синусит,Головний біль (ранковий),Раптові напади сну,Уникнення травматичних спогадів,Компульсивні дії,Кашель (сухий)
Сечокам'яна хвороба,Втрата інтересу до діяльності,Райдужні кола навколо джерел світла,,,
Рак простати,Збільшення печінки/селезінки,Помутніння зору,Свербіж шкіри,Кров у калі,
Депресія,Нудота,Втрата смаку/нюху,Носова кровотеча,,
Хвороба Паркінсона,Розмитість зображення,Біль у горлі (першіння),Пригнічений настрій,Сльозотеча,
Жовчнокам'яна хвороба,Випадіння волосся,,,,
Гепатит,Набряклість,Пригнічений настрій,,,
Аутизм,Жовтяниця,Сплутаність свідомості,Зміни апетиту/ваги,Проблеми з рівновагою,Збільшення печінки/селезінки
Ревматоїдний артрит,Червоні плями на шкірі,Лихоманка (сильна),Біль у правому підребер'ї,,
Виразка шлунку,Пітливість,Серцебиття (прискорене),Біль у кістках,Звуження поля зору,Порушення чутливості
Анемія,Ущільнення в молочній залозі,Сковання суглобів,Біль в очах (ріжучий),Набряклість (локалізована),
Бронхіт,Здуття кишківника,Деформація суглобів,Біль в очах,Збільшення лімфовузлів,
Невралгія трійчастого нерва,Біль у суглобах (мігруючий),Надмірна сонливість вдень,,,
Синдром дефіциту уваги та гіперактивності,Переїдання з наступним очищенням,,,,
Склеродермія,Вузлики на суглобах,Втрата ваги,,,
Плоскоклітинний рак,Слабкість,Кров у калі,Занепокоєння,Синці на шкірі (без причини),
Базаліома,Порушення чутливості,Флешбеки,Прискорене серцебиття,,
Менінгіт,Лихоманка (сильна),Стереотипні рухи,,,
Фіброміалгія,Набряклість (локалізована),Двоїння в очах,,,
Псоріаз,Поступова втрата периферичного зору,Погіршення нічного зору,Чутливість до яскравого світла,,
Бронхіт,Біль у грудях,Дратівливість,,,
Посттравматичний стресовий розлад,Двоїння в очах,Головний біль,Переїдання з наступним очищенням,Дратівливість,Кровотеча
Біполярний розлад,Біль у м'язах,,,,
Подагра,Зміни апетиту/ваги,Порушення координації рухів,Райдужні кола навколо джерел світла,Сильний головний біль (пульсуючий),Ломота в тілі
Фарингит,Двоїння в очах,Шум у вухах,,,
Менінгіт,Проблеми з ковтанням,Біль у животі (розлитий),Ущільнення шкіри,Біль у правому підребер'ї,Деформація суглобів
Рак легенів,Нервозність (підвищена),Червоні плями на шкірі,Пригнічений настрій,Сльозотеча,Носова кровотеча
Карпальний тунельний синдром,Втрата ваги (різка),Імпульсивність,Закладеність носа,"Біль у грудях (стискаючий, пекучий)",Почервоніння (локалізоване)
Системний червоний вовчак,Втрата ваги (без причини),Кашель (з мокротою),Імпульсивність,Свистяче дихання,Нервозність (підвищена)
Алергія,Надмірна сонливість вдень,Флешбеки,Нежить,Чутливість до яскравого світла,Біль у попереку
Епілепсія,Червоні плями на шкірі,Страх набрати вагу,Почуття тривоги/паніки,Холодні кінцівки,
Застуда,Слабкість у кінцівках (прогресуюча),Нічна пітливість,Набряк суглобів,Біль у м'язах,
Анорексія,Біль при ковтанні,Проблеми з рівновагою,Деформація суглобів,Кашель,
Рак кишківника,Біль у кістках,,,,
Ішіас,Почервоніння шкіри над суглобом,,,,
Епілепсія,Висипання у вигляді метелика на обличчі,Почервоніння обличчя,Лихоманка (сильна),Кров у калі,Набряк суглобів
Пієлонефрит,Часте болісне сечовипускання,Шум у вухах,Нервозність,Втрата свідомості,
Екзема,Почервоніння обличчя,Проблеми з рівновагою,,,
Менінгіт,Біль у суглобах (сильний),Погіршення нічного зору,Підвищена температура тіла (локальна),Висипання на шкірі (бляшки),Синці на шкірі (без причини)
Лейкемія,Блідість шкіри,Жовтяниця,Кашель (сухий),,
Кропив'янка,Головний біль (ранковий),Кашель з кров'ю,Хрипи в легенях,,
Бронхіт,Спрага,Набряклість (локалізована),,,
COVID-19,Почуття тривоги/паніки,Кашель (з мокротою),Нервозність,Набряк суглобів,
Коліт,Зміни апетиту/ваги,Висипання на шкірі (бляшки),Втрата свідомості,Біль у животі (голодний біль),Біль у вусі
Пієлонефрит,Почуття тривоги/паніки,Двоїння в очах,Сухість в очах,,
Гастрит,Почервоніння (локалізоване),Зміни нігтів,,,
Гіпотонія,Біль у суглобах,Здуття кишківника,Біль у горлі (сильний),Лихоманка,Кашель (сухий)
Шизофренія,Уповільненість рухів,Переїдання з наступним очищенням,Біль у спині,,
Плоскоклітинний рак,Свистяче дихання,Зміни нігтів,Кашель (сухий),Лихоманка,
Ларингіт,Біль у вусі,Прискорене серцебиття,Тремтіння (тремор),Біль у суглобах (сильний),Біль у грудях (що посилюється при диханні)
Аутизм,Порушення пам'яті,,,,
Астма,Втрата ваги (різка),,,,
Обсесивно-компульсивний розлад,Сковання суглобів,Сутулість,Розмитість зображення,,
Лейкемія,Червоні плями на шкірі,Тенезми,Жовтяниця,Кров у калі,
Синусит,Виділення з вуха,Шум у вухах,Почуття провини/нікчемності,Сутулість,
COVID-19,Надмірна сонливість вдень,,,,
Карпальний тунельний синдром,Сльозотеча (гнійні виділення),Білий наліт на мигдалинах,Сухість у роті,Зміни особистості,Імпульсивність
Епілепсія,Підвищена температура тіла (локальна),Сплутаність свідомості,Синці на шкірі (без причини),Свистяче дихання,Відрижка
Холецистит,М'язова слабкість,Відчуття важкості в животі,Головний біль (ранковий),Райдужні кола навколо джерел світла,Уникнення травматичних спогадів
Ларингіт,Переїдання з наступним очищенням,Блідість шкіри,Оніміння кінцівок,,
Депресія,Нежить,Набряк мигдалин,Прискорене серцебиття,,
Кропив'янка,Тремор рук,Шум у вухах,Дратівливість,,
Пієлонефрит,Біль у грудях (що посилюється при диханні),,,,
Рак кишківника,Розмитість зображення,Труднощі з соціальною взаємодією,Чхання,Біль у кістках,
Нарколепсія,Втома,Біль у спині,Біль в очах (ріжучий),Сльозотеча (гнійні виділення),Судоми
Фіброміалгія,Кров у сечі,Повільне загоєння ран,,,
Нарколепсія,Здуття,Стискання в грудях,,,
Гіпертонія,Поступова втрата периферичного зору,,,,
Гіпертонія,Синці на шкірі (без причини),,,,
Остеопороз,Втрата інтересу до діяльності,Порушення пам'яті,,,
Депресія,Зміна форми соска,,,,
Екзема,Стискання в грудях,Висипання у вигляді метелика на обличчі,,,
Хвороба Альцгеймера,Підвищений апетит,,,,
Алергія,Головний біль,Порушення сну (безсоння),Збільшення лімфовузлів,Блювота (ранкова),
Артрит,Чутливість до світла/звуку,Біль у грудях (що посилюється при диханні),Сутулість,Біль в очах (ріжучий),Тремтіння (тремор)
Розсіяний склероз,Обмеження рухів (локалізоване),Зміни особистості,Втрата ваги (різка),,
Базаліома,Збільшення печінки/селезінки,,,,
Ларингіт,Біль у горлі (першіння),Мутна сеча,,,
Безсоння,Синдром Рейно,Двоїння в очах,Білий наліт на мигдалинах,Погіршення зору,
Шизофренія,Порушення сну (безсоння),Чутливість до світла/звуку,Затримка мовленнєвого розвитку,,
COVID-19,Прискорене серцебиття,,,,
Жовчнокам'яна хвороба,Серцебиття (прискорене),Синдром Рейно,Біль у суглобах (мігруючий),Спотворення образу тіла,
Хронічна втома,Кров у калі,Біль у горлі (першіння),,,
Остеопороз,Обмеження рухів (локалізоване),Чутливість до світла/звуку,Порушення координації рухів,Втрата ваги,Страх набрати вагу
Гіпертонія,Почуття провини/нікчемності,Хрипи в легенях,,,
Псоріаз,Відрижка,Порушення сну (безсоння),Помутніння зору,,
Менінгіт,Втома,Біль у лівій руці,Оніміння кінцівок,Маніакальні епізоди,
Фарингит,Біль у животі (голодний біль),,,,
Рак простати,Стереотипні рухи,,,,
Нарколепсія,Розмитість зображення,Звуження поля зору,,,
Анемія,Прискорене серцебиття,Підвищена температура тіла (локальна),Набряк мигдалин,,
Рак кишківника,Порушення зору,Лущення шкіри,Втрата апетиту (нервова),,
Інсульт,Зміни особистості,Запаморочення,Спрага,Нудота,
Псоріаз,"Біль у грудях (стискаючий, пекучий)",Висипання на шкірі (різні),Блювота (ранкова),Сильний головний біль (пульсуючий),
Енцефаліт,Охриплість голосу,Нічна пітливість,,,
Склеродермія,М'язова слабкість,,,,
Плоскоклітинний рак,Обмеження рухливості,Маніакальні епізоди,,,
Лейкемія,Біль у суглобах (мігруючий),Біль у животі (пекучий),Блювота (ранкова),Погіршення зору,
Виразковий коліт,Біль у м'язах,Жовтяниця,Страх набрати вагу,Висипання,
Грип,Обмеження рухливості,Маніакальні епізоди,,,
Епілепсія,Погіршення нічного зору,Кровотеча з ясен,Синці на шкірі (без причини),"Біль у грудях (стискаючий, пекучий)",
Фіброміалгія,Нежить,Червоні плями на шкірі,Поступова втрата периферичного зору,Дезорієнтація,Втрата інтересу до діяльності
Хвороба Паркінсона,Компульсивні дії,Проблеми з концентрацією,,,
Анемія,Біль у кістках,Висипання у вигляді метелика на обличчі,Тенезми,Підвищений апетит,
Апендицит,Кров у калі,,,,
Безсоння,Свистяче дихання,,,,
Гіпертонія,Труднощі з соціальною взаємодією,Сутулість,,,
Ларингіт,Неуважність,Свербіж в очах,Нервозність (підвищена),Блювота (ранкова),
Тривожність,Біль у правому підребер'ї,Біль у горлі,Зміни апетиту/ваги,Кашель (сухий),Біль у животі (пекучий)
Тривожність,"Проблеми з сечовипусканням (часті, утруднені)",Виділення з вуха,,,
Рак легенів,Занепокоєння,Райдужні кола навколо джерел світла,,,
Гепатит,Кров у калі,Синці на шкірі (без причини),Збільшення щитоподібної залози,Судоми,Охриплість голосу
Сечокам'яна хвороба,Печія,Порушення зору,,,
Шизофренія,Запаморочення,Сльозотеча (гнійні виділення),Біль у м'язах,Набряк суглобів,Потемніння в очах при різкому вставанні
Лейкемія,Висипання,Холодні кінцівки,Втрата ваги,Сухість у роті,
Синдром дефіциту уваги та гіперактивності,Запаморочення,Сильний головний біль (пульсуючий),Біль у животі (пекучий),Затримка мовленнєвого розвитку,
Застуда,Нервозність,Сухість в очах,Сильний головний біль (пульсуючий),Часте болісне сечовипускання,Сухість у роті
Хронічна втома,Набряк суглобів,Зміна форми соска,,,
Обсесивно-компульсивний розлад,Нав'язливі думки,Тремор рук,,,
Біполярний розлад,Уповільненість рухів,Проблеми з ковтанням,Запаморочення,Спотворення образу тіла,Збільшення живота
Кропив'янка,Зменшення зросту з часом,Біль у лівій руці,Сльозотеча,Погіршення зору (прогресуюче),
Гіпертонія,Мутна сеча,Порушення чутливості,,,
COVID-19,Біль при ковтанні,Підвищена температура тіла (локальна),Набряк мигдалин,,
Кропив'янка,Почервоніння обличчя,Кашель (сухий),,,
Ангіна,Свербіж в очах,,,,
Ангіна,Лихоманка,,,,
